CPU Energy,CPU Model,Device ID,Duration (s),Energy (kWh),GPU Energy,GPU Model,Log Level,Measure Power Secs,Measurement Type,OS,RAM,RAM Energy,Run ID,Run Number,Script,Total Energy Consumed,Tracking Mode
3.382321794827779e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.865518808364868,3.497764617678304e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1544282285052533e-06,cff2f9157e0ef3654b432f0819efa81aab5311772ea4813b50d6d7d92c415dad,2,k_means_clustering_iris.py,3.497764617678304e-05,machine
3.382982114950816e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.8661856651306152,3.498450144873213e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1546802992239692e-06,cff2f9157e0ef3654b432f0819efa81aab5311772ea4813b50d6d7d92c415dad,3,k_means_clustering_iris.py,3.498450144873213e-05,machine
3.194095939397811e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.7060816287994385,3.303107622973736e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0901168357592421e-06,ecbfc0f4844b07fdf2bb90b24c4db73cf9595fd00ea99480928e8b46d0b480f0,1,linear_regression_diabetes.py,3.303107622973736e-05,machine
3.197567545705372e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.7090728282928467,3.3067026977877974e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0913515208242568e-06,ecbfc0f4844b07fdf2bb90b24c4db73cf9595fd00ea99480928e8b46d0b480f0,2,linear_regression_diabetes.py,3.3067026977877974e-05,machine
3.197469595405791e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.708923816680908,3.30650158307622e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0903198767042948e-06,ecbfc0f4844b07fdf2bb90b24c4db73cf9595fd00ea99480928e8b46d0b480f0,3,linear_regression_diabetes.py,3.30650158307622e-05,machine
5.578723284933302e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.726000785827637,5.769154416316375e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.9043113138307415e-06,999561762ae41c5512f0778d9274db32d70a588459875ac1c7aa472bd209a219,1,logistic_regression_breast_cancer.py,5.769154416316375e-05,machine
5.677232858207492e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.809478521347046,5.871059532145094e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.9382667393760283e-06,999561762ae41c5512f0778d9274db32d70a588459875ac1c7aa472bd209a219,2,logistic_regression_breast_cancer.py,5.871059532145094e-05,machine
5.6012161076068884e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.7450456619262695,5.7924497410206566e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.912336334137687e-06,999561762ae41c5512f0778d9274db32d70a588459875ac1c7aa472bd209a219,3,logistic_regression_breast_cancer.py,5.7924497410206566e-05,machine
3.5307083361678664e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.9913463592529297,3.651218511104345e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.2051017493647957e-06,035476a15aef8a6b4c9c281083490c16167a3d3b57ccf4acc405229f156f198b,1,naive_bayes_digits.py,3.651218511104345e-05,machine
3.559202866421806e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.0161871910095215,3.680615833310325e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.2141296688851827e-06,035476a15aef8a6b4c9c281083490c16167a3d3b57ccf4acc405229f156f198b,2,naive_bayes_digits.py,3.680615833310325e-05,machine
